,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
39 | 631.4935mz | 0.40min,,,,,,6728,5599,6197,4440,7257,12540,1154,9171,731.9,,,15180,637.9,4715,564,445,,9431,,793.2,,1418,17350,,150.8,13120,948.7,731.1,1781,162.4,,965,21120,826,,,575.1,216.8,5844,2312,1637,1582,3099,,2284,,2295,,594.6,,15510,20010,1069,,,372.8,1587,1248,12490,300.5,1309,1952,15790,2453,10210,720.8,,4822,13720,9069,356.9,466.3,7726,13930,17410,9539,1327,4446,806.1,3573,,4129,2821,579.5,852,3431,5273,849.4,1189,5376,3789,1959,19070,691.3,16740,81.91,10010,1406,1607,3315,,,10710,1130,3428,4098,8434,
40 | 628.5488mz | 0.40min,,,,,,3286,2972,3770,2852,2967,2254,1169,1010,,1738,,3484,,,,8237,,579.9,,1115,245.4,662.3,4413,,,833.7,315.3,,236.1,,,8025,5010,7268,210.4,6079,470,,3232,661.6,162.3,1890,618,,3109,,,,577,1883,3033,4217,972,,,592.1,1281,7717,2680,,4325,8700,2726,271.3,1740,1665,,,1928,610,,3910,5153,3025,2918,1107,380.1,1456,7809,1568,,410.5,687.2,8810,1207,1030,1605,8304,8225,,3654,5599,3662,678.4,3507,,1851,611.4,1338,346.8,,,1423,574.3,6325,1640,4372,
41 | 336.3111mz | 0.40min,,,,2768,3449,510.7,248.2,383,425.2,245.1,657.2,604.8,859.9,155.8,,87.24,2158,124.7,6128,204.3,2289,,2763,3652,2021,389.6,741.6,2383,,872,,131.9,565.3,238.3,1139,153.7,3725,,3398,,6209,394.1,96.38,52.34,1836,551.8,2494,699.7,405.8,1245,156.1,737.6,120.3,446.8,249.3,477.5,476.9,,3847,,249.9,,3396,1752,4710,3519,4467,2744,1393,319.2,2276,1163,4935,72.04,624,663.4,5734,649.2,1767,1729,903.9,323.8,2281,6777,1169,,4412,1267,3921,,598.2,2574,4670,4056,5445,72.7,283.1,,,1895,,1193,304.1,6536,316.5,100.5,1759,,295.6,5010,1778,644.7,
42 | 624.5203mz | 0.40min,,,,,,6074,4831,5230,1632,5690,7747,887.7,8186,511.8,,,9651,436,1990,425.3,2863,,8884,,950.6,275,64.37,9316,,102.8,10230,,375.8,1426,,,1999,10570,2290,,470.1,,,4150,1617,1489,1838,2148,,2443,,2203,,145.9,222.4,9128,10480,,,,,2462,1877,8042,,1035,2697,8716,2325,8575,1234,,487,9644,7261,,2294,4678,7618,9219,7746,,3595,2899,3602,,4404,2877,1010,742.4,1398,4521,1630,2364,1645,4035,1823,9712,659.6,9223,91.62,8073,,2028,3323,,,8528,255.3,4031,4656,6612,
43 | 476.4826mz | 0.40min,,,,6001,4542,1528,1714,2405,1553,1816,623.3,,1150,149.3,383.6,,3325,,,,5559,3596,3641,,,,2654,4008,,,668.8,1901,,129.4,,,4760,2192,1934,885.7,2978,5086,,1944,155.4,,429,,1069,,,,,2563,,3181,2618,4747,,,3352,574.5,3156,2092,,5056,4940,1499,394.7,2717,237.7,,,2397,2989,,4822,1959,2132,3607,3495,3286,1987,2522,1014,,608.8,325.1,3572,,2392,1607,3561,4269,,2353,1530,1762,,4091,,2955,5323,1836,2384,,,2512,4502,2708,970.2,2946,
44 | TG 9:0_9:0_18:2 | [M + H3N + H]+,,,,,,19910,17340,19000,19310,17940,14550,4522,9095,837.1,378.3,,15390,520.6,1913,395.2,29010,,9773,664.3,4355,1648,21140,14900,,253.6,10840,17450,799.5,2291,1001,876.5,29630,17900,29710,759.8,26000,16020,1284,18670,2655,1443,9242,3770,397.2,12470,2779,2290,,15620,4201,13370,16310,23250,398.5,,16300,9067,31840,15030,4696,28920,31310,12440,3309,8101,6055,,258.9,9858,8089,3589,29020,19710,14800,15030,7961,18600,6633,29760,5743,,5277,3075,31990,11790,12470,9095,31410,29020,1298,13890,16430,15330,8527,12060,2608,8626,17610,15130,3996,,438,7612,20970,21000,5885,19220,BQMWSYBFALTWEC
45 | 654.5648mz | 0.40min,,,,,,5708,5243,6030,3203,6199,1121,1552,424.9,,,,2333,,,,14240,,129.6,,1523,597.8,7409,1742,,,,5897,,98.13,99.13,,17570,2411,15810,,13040,3362,,5289,,,3081,267.1,,4945,,,,3221,1790,2071,3099,6854,,,4688,3067,17240,1721,1197,14820,20700,951.8,,471.7,2473,,,356.6,,,15030,6509,1992,1870,205.4,5450,693.8,16070,855.2,,,,17540,2190,3463,953.7,18130,14340,,4666,7173,2076,2537,1599,432.9,519.3,6152,3811,,,,951.6,7938,9672,277.4,4415,
46 | 584.5021mz | 0.40min,,,,,,371.4,,744.6,449.4,186.7,1814,,6006,108.4,,,3740,,,238.9,,,2839,,,,,5424,,,5470,,103.4,756.2,,,,3958,,,,,,539.9,269,901.7,569.6,872.2,,464.5,,657.8,,,,1352,5768,,,,,,,3393,,,,4234,1124,6779,,,,6513,1700,,,669,4026,5604,2212,,2350,,1945,,1547,1935,,,,1165,,,,1050,,5090,,5342,,6469,,240.3,2259,,,4678,,1881,1791,798.5,
47 | 537.1664mz | 0.40min,,,,1791,1268,,,,,,473.9,,,,,,,,5663,,,,540.8,3453,,,,,,,,,,,,,,,,,,7956,,,,,,,,,,,,,,,,,3270,,5498,,843.9,,,,,,,962.5,,,5332,556.7,1237,,1743,,1325,361.6,1187,,197.6,1654,,237.4,,,,,,331.5,,342.8,6268,,,,,484.1,,1300,7326,,,151,3716,426.1,,,214.1,495.7,
48 | 405.3729mz | 0.40min,,,,,,,,,,,,122,,476.4,3020,,,633.7,,804.4,,3808,,,150.3,,,,,,,,243.4,592.7,,,,,,726.6,,,,,874.4,573.6,112.8,114.7,1621,177.2,,811.5,,,393.9,,,,,,,,,,,,,,163.3,,191.8,1604,,,,,,,,,,,293.4,,399,,281.8,1108,,,,496.7,,,,,305.8,,,,,,,,1249,,,,,133.1,1021,,
49 | 648.5200mz | 0.40min,,,,,,10360,9222,10340,10840,9458,13350,1605,12120,1345,,,13980,925.6,5521,879.7,4612,,12880,,1588,358.4,3543,14640,,462.6,13570,2003,762.9,2937,368,264.3,3360,17140,3901,,2440,1287,360.3,8169,3282,2402,3213,4908,1081,2991,250.7,4405,,1965,844.6,12780,15600,4196,,,1657,3723,3454,12720,1513,2539,4955,12540,3951,12110,2043,118.3,4822,13600,11450,769.5,3521,5674,13340,13680,10490,2432,5935,3874,5159,,6667,3340,4659,596,4716,7704,2230,4609,4713,5586,3652,15950,1707,12380,443.4,11840,1193,4791,5267,,,10870,1259,5668,7510,10770,
50 | 610.1845mz | 0.40min,445,2144,2949,3936,3145,,,,336.9,,1248,,1516,468.5,,1529,346.5,752.1,7318,447.4,683.5,,4019,4784,297.5,315.7,481,3686,2577,855.1,2446,635.8,433.4,218.5,360.8,346.7,539.4,,423.4,,2837,15450,814.7,,175.7,642.8,488.8,310.8,305.5,309.8,209.6,1108,1545,490.5,653.6,374.2,1103,,4744,2490,10690,,1480,1436,,2030,2619,3630,1063,2674,960.5,,7189,3372,3931,,3204,1793,2608,1243,4106,2029,1347,3749,415.1,4277,909.7,503.2,2099,,596.4,1115,2823,2549,9821,,,427.6,1314,4317,80.42,2431,9777,97.81,1073,3881,5225,2330,491,621.7,1846,2552,
51 | 776.2325mz | 0.40min,,402.5,313.4,,,,,,,,,,,,,316.7,,,,,,,,,,,,,388.8,,,,,,168.1,,,,,,,,,,,138.1,,,,,,,1657,,,,,,,1056,,,,,,,,,170.2,,,,,,,,,,,,,,,,,1616,,,,,,,,,,,,,,,,,,,,3992,,,,138.7,,,
52 | 777.2333mz | 0.40min,,215,136.1,,,,,,,,,,,,,176.9,,,,,,,,,,,,,,,,,,,117.5,,,,,,,,,,,,,,,,,,645.2,,,,,,,800.8,,,,,,,,,,,,,,,,,,,,,,,,,,520.7,,,,,,,,,,,,,,,,,,,,1894,,,,,,,
53 | 591.4977mz | 0.40min,,,,,,2349,2624,2571,599.2,2205,5741,501.9,4765,140,,,6295,461,261.9,161.6,1035,,4213,,618.5,,280.9,6932,,,2783,,232.5,652,,,2268,8655,2092,,487.5,,,953,1832,654.8,1565,1413,,1896,,1666,,,505.6,6909,9498,444,,,,611.9,2454,5888,214.4,1674,2259,6471,1560,5368,808.9,,,5784,4989,,2435,4946,7044,7347,5320,,2873,638.5,2733,,2910,1504,1320,,695.5,3651,1610,3255,490,2868,2216,8149,394.4,7302,,4262,,900.3,2441,,,5452,160.8,3846,4488,3641,
54 | TG 9:0_9:0_18:3 | [M + H3N + H]+,,,,,,34440,29590,34850,32530,32470,36740,5960,29630,3530,295.5,278,37110,2561,11160,2201,24180,,34250,2970,6006,2092,29170,36940,1026,1444,34820,23760,2593,7970,2066,2059,22210,41720,20790,4372,20180,22240,2375,31970,10200,5960,11670,13480,4420,14180,5181,10470,132.6,21500,4413,31220,41470,29390,2560,448.5,21650,17540,23270,36000,8927,24420,23860,32170,11870,30920,7104,2500,9718,33210,30660,6580,21850,33720,36750,37320,30520,24230,19400,20820,16390,523.8,17570,10740,22590,14400,21720,24160,22860,22720,11660,21260,15210,38610,10500,34970,9573,30700,24270,25230,15110,451.1,3341,28510,29740,21850,21490,34420,PMPUWRJUAGLOSI
55 | 615.4984mz | 0.40min,,,,,,9697,8659,10710,9424,8394,12000,1707,9801,1295,,,12550,821.4,5421,944.2,1706,,8273,396.4,1964,395.4,7243,13290,,464.8,11370,6396,1044,2463,754.2,694.3,3926,16250,1100,,1212,6248,634.4,9753,3444,2343,3444,4473,968.7,3349,1362,3935,,5700,742.1,13210,16650,7620,822.2,,5326,2851,4032,12680,3171,2113,5141,12700,4201,10600,1995,294.2,5161,11540,9217,2038,1898,10780,14580,15460,8850,6969,6024,3833,5206,,6764,3907,4657,1410,7183,8513,3123,4578,5863,6102,3230,15480,540.8,13950,690.9,9907,5836,7976,5508,,893.2,10730,7683,5722,6982,11080,
56 | 664.5143mz | 0.40min,,,,,,5457,4121,4698,4316,5415,10550,1043,3412,737.9,,,14060,637.3,4621,461.2,,,6211,,482.2,,480,9340,,,4837,,414.4,1293,,,,15020,,,,232,,4227,1678,1394,426,1487,,1087,,2731,,,,13010,14180,518.6,,,,1223,,11010,,,,11970,1694,6685,,,4655,7818,2721,290.8,,5554,11170,14440,5643,,2120,,1642,,3227,1342,,,3352,4451,,,4924,2770,614.9,12090,,11370,,7100,604,2355,2727,,,6633,311.1,917.5,3715,3713,
57 | 611.3652mz | 0.40min,,,,3163,1369,5568,4217,4792,4147,5297,6945,295.2,7439,270.1,,,9568,,5736,,5369,,7339,11730,608.3,,8036,2367,,,7532,17540,,883,,,10930,5385,8089,,12910,10470,,4958,423,327.2,1377,2001,,864.9,,1395,,15660,,9728,5492,7995,11420,,10360,,8381,4205,226.9,5642,13270,1151,1131,9079,431.8,,5006,7463,3967,,17930,6556,7692,10680,7132,20200,2316,19040,1768,,865,536.5,7543,,1127,2497,8082,5414,6167,3553,457.7,4619,,3057,,9228,13810,3154,1410,,12330,6781,8158,3289,2522,6849,
58 | 450.4670mz | 0.41min,,,,5115,4705,1488,625.3,1706,1877,2615,1238,,2454,141.1,,,3172,,,,4629,2284,2728,,,,1719,3928,,,1243,2658,,,,,4227,2097,4214,1122,4010,2015,,2433,439.6,,,,586.5,,264.7,,,2340,238,2281,2149,3836,,,2926,374.4,2943,489.5,,5077,4977,1709,455.9,2485,260,817.9,,3109,2714,,4651,3066,1785,1951,1669,1788,2115,4578,570.8,,1090,253.9,4026,,874.2,1088,4458,5047,,1620,1189,1542,,2783,500.2,2465,4555,1099,1241,,,2954,2187,2557,732.8,1205,
59 | 612.1824mz | 0.40min,,649.1,800.5,1244,645.7,,,,,,,,,,,399.1,,165.9,3002,,,,416,1672,,,,514.2,652.1,96.01,,,,,,,,,,,,5810,247.6,,,,125.6,,,,,,116.4,,,,,,1789,494.6,2055,,,,,,,,382.6,,,,2775,,,,,,,,1669,,,393.7,,1532,,,,,,,,,2968,,,,,577.3,,,3853,,,154.1,1787,380.2,,,98.73,,
60 | 588.5340mz | 0.40min,,,,,,9558,9220,9997,10090,9258,17460,1164,17440,2596,,,23380,883.2,,1260,5455,,10930,,802.8,428.2,524.2,26870,,522.8,16700,690.6,796.3,3106,,,5471,29890,4110,,867.5,,135.2,9351,3053,1543,1589,3768,229.4,2482,,1581,,363.3,,21820,27650,,,,,4212,4336,18740,573,2748,6298,23530,3400,17110,1824,421.2,,15850,9197,,4086,12140,20520,24650,10680,1802,10390,2362,8205,,6055,5707,4503,382.1,3146,9330,6212,6716,,8678,1445,26190,245.8,28290,,19360,,4195,6000,,,14390,313.5,7036,5948,10600,
61 | 640.5149mz | 0.40min,,,,,,2796,661.6,1939,1159,2086,7840,,5976,,,,11260,,1372,,,,5667,,,,,11160,,,6302,,237.6,391,,,,11230,,,,,,1923,764.9,452.6,,856.6,,182.3,,1203,,,,10520,10480,,,,,,,8145,,,,10740,700.2,5743,,,1311,2869,4571,,,2810,7775,11600,2962,,994.3,,846.4,,1411,510.2,,,344.6,1464,,,524.2,1004,,10200,,9238,,4318,,,1369,,,4798,,359,2217,693.9,
62 | 628.1950mz | 0.40min,1555,17410,30060,2892,9816,,,,1999,,,455.7,402.4,1484,212.8,9241,,3567,,1374,586.2,,,,1320,1187,,226.7,5052,1656,,401.5,1129,1143,2363,1290,322.1,,,,559.9,705.9,1949,1311,2966,1453,3234,2479,1630,1401,2323,2045,11320,724.9,2149,275,354.2,6410,302.8,9640,1666,1038,355.2,1125,2269,519.8,2376,474.5,2818,1859,1971,2422,,2028,,441.3,2302,4051,1729,780.6,5194,4378,2150,5118,1168,10770,906,1114,,,3263,2230,1955,2359,8218,,559.9,955.8,286.6,1829,503.7,2990,3620,1760,1814,23700,1560,1551,12720,2763,1759,4972,
63 | 11-(Methylsulfinyl)Undecyl Glucosinolate | [M + H]+,,828.8,1317,5295,4001,1374,,405.9,524.3,,2485,,724.1,266.7,,1093,1168,601.9,12750,202.4,2150,,3071,8358,,98.49,454.6,1727,595.8,228.7,1386,1883,110,85.42,63.58,,601.1,,725.3,,4272,17020,318.3,1762,480.3,325.1,571.4,110.6,,292.7,,996.4,715.5,1368,,2129,,,7322,1074,13310,,1520,3169,,1422,1694,2448,895.9,4215,691.6,,12790,3501,5603,,4105,2781,3460,2199,5565,2260,1457,4222,142.1,2853,711.4,175.4,2344,,195.8,1107,2986,3074,14430,356.8,261.5,894.4,1019,3938,,4424,17670,,705.2,6067,9706,3394,2627,973.6,1785,3430,ZXUVJMBTZIUKJG
64 | 626.5356mz | 0.40min,,,,,,16530,15920,16250,16440,15250,20360,3165,16220,1637,771.9,,22760,1233,3738,1066,13990,,17980,,3026,954.6,6327,22520,,693.5,19240,5466,1387,3528,565.5,373,12090,26660,12420,531.6,10520,5545,631.5,15230,5684,2511,5750,5738,2281,8672,1178,4452,,4926,2813,20090,25100,6526,,,2602,8797,12980,20930,2251,12890,13450,19260,5528,16050,3969,2228,3686,18300,16550,1543,11610,16770,21710,21730,16950,4971,12160,12080,10500,,9925,6188,12780,8257,6943,13550,12820,13310,3147,13480,9956,23930,3846,22240,1095,16990,6008,8401,8453,,,16370,6485,14860,12410,17820,
"65 | Tris-(2,4-di-tert-butylphenyl) phosphate | [M + H3N + H]+",3266,23450,24420,114800,94550,111000,101200,110800,107400,90210,87470,23300,108800,23870,2594,118200,122100,19790,219200,22990,130000,1570,140000,329700,23680,18110,137500,127100,53450,16860,110400,121800,17540,28110,11540,20870,89940,115000,124500,1575,95190,111300,17410,89820,20260,27080,34980,29280,2750,26710,19350,23160,111400,97440,16900,107600,105700,143100,340300,49160,113800,32760,142100,88900,20590,115700,103900,85860,29980,108600,22620,4747,207200,110000,109400,19710,104800,98220,80760,109300,125100,130700,49350,123400,35550,54300,27800,35020,141600,4449,42140,42820,105700,115700,250000,50150,27820,106100,23510,105600,3889,108500,123900,35580,28970,102000,338200,94220,146000,57300,38650,113400,AZSKHRTUXHLAHS
"66 | Tris-(2,4-di-tert-butylphenyl) phosphate | [M + H]+",2496,14840,15210,73940,62210,72020,69120,75230,75200,63500,59590,15700,72890,16420,1945,78240,87300,13970,175800,10430,85740,891.2,97330,267100,16810,12750,96820,90160,36310,12410,86620,87130,12610,19590,8368,8072,67210,88950,96150,1830,68540,89080,7314,75140,15750,20150,25400,21960,528.7,19650,14480,12710,84000,75340,4792,84440,77900,99570,265400,35810,90670,19690,108700,64570,15540,86770,81020,74460,22270,92140,17060,848.2,163900,86190,85940,15410,80230,77640,63630,81650,96940,105800,38820,95200,27730,38930,21830,26660,106800,5041,35020,33120,80210,90830,195100,39030,20960,76610,6748,87110,11990,83120,95840,33010,23580,74020,274100,71870,110800,36670,29400,89900,AZSKHRTUXHLAHS
67 | Cer 19:3;2O/19:2 | [M + H]+,,,,,,27240,23940,26600,25940,26460,39140,3264,54840,5070,,,48000,2443,3925,3937,9958,369.4,33130,,2997,1596,2536,58800,,1860,51890,6281,2340,8055,1059,863.5,7929,59280,6967,662.7,4832,2941,1303,26560,8579,6803,6119,11060,4973,9449,2433,6169,,6116,1763,47090,58250,4041,,,4320,12700,7414,42910,4341,9360,9879,51310,10890,55440,5374,4533,3454,53380,31930,3057,5891,29840,43650,50100,31480,7204,27300,6501,22260,,21280,18130,6120,4131,10010,23800,7201,10210,3285,21140,7895,55900,5947,56140,3156,56200,4506,14590,18960,,,45890,1064,17360,18280,30110,TXPIXJIKJCTOLY
68 | 597.4493mz | 0.41min,,,,,,,,,,,,435.4,,869.5,,,,159.9,,216.8,,,,,254.2,,,,,271.3,,,666,1374,1097,1105,,,,,,,1303,,1344,443.8,224.6,2337,,,1340,768.1,,,,,,,,,,,,,1902,,,,2230,,,,,,,1264,,,,,,,1144,,1180,,,543.4,,,1155,689.6,,,,,,,,,,,,1303,319,,,,,,322.7,,
69 | 653.5539mz | 0.40min,,,,,,6973,7248,4866,7674,6957,3188,1727,2487,97.42,,,4904,,,,11630,,2575,,1742,512.3,5474,5955,,,826.5,6597,268.4,922.6,383.3,166.4,11940,6087,11550,,7802,6715,405.6,6518,1108,152,3482,1306,,5439,251.6,194.8,,5009,1368,4413,3217,6019,,,7052,3366,12580,4895,1820,11750,13030,4441,1264,2500,2440,,,3323,2665,524.4,5929,7331,5839,3035,2264,7071,1637,13040,2513,,958.4,836.8,12320,1615,4776,2669,5954,11470,,4835,3790,4376,2125,4572,536.7,2826,5327,5901,1374,,,3016,8711,8632,1948,5253,
70 | 317.2092mz | 0.42min,,,,,,3817,4513,4461,5607,4682,4842,5843,1781,7319,,,1022,4139,4802,2149,2999,,860,,3100,2281,,1990,,4194,4119,,9727,5261,3004,2437,2711,1476,3046,860.5,3750,,2897,6106,16610,2896,4006,10950,4681,6711,5112,6914,,,4248,3451,2255,,,,,7945,3022,6070,6647,3093,2655,3375,13930,1727,4757,4758,4760,3793,574.3,5502,3335,5071,7545,,241.2,,16540,3157,14310,,9515,5988,3079,1899,6636,17880,2624,3236,3436,11270,5120,2916,1718,2505,1844,2140,,8803,14160,,,2924,,4583,11880,4647,
71 | Decamethylcyclopentasiloxane | [M + H]+,1725,23470,43660,2797,9493,,,,3534,,,593.7,,1338,,7486,,4742,332.8,1559,,,,,1526,1607,,,5082,2455,,,1360,1045,2702,1797,,,,,,,2114,,5554,1357,3122,2573,1442,1474,2667,2257,9645,913.5,1742,,,8126,270.7,9438,1185,,,,1857,,1532,,2937,2358,1657,1340,,2903,561.9,909.1,2862,3738,1681,897.9,6323,3566,1868,6533,939.9,10610,1433,640.5,,,2106,1616,2271,943,13280,,,876,,1738,,3610,3235,1998,1444,18460,1789,834.4,13350,2300,1472,5039,XMSXQFUHVRWGNA
72 | 504.5140mz | 0.40min,,,,280300,260200,358100,342400,356200,354100,359500,380800,26430,336900,38950,351400,253.1,230300,29970,153700,29630,427200,640200,371300,2135,21050,21940,264300,260400,2402,22050,352100,357400,19740,32740,15530,15850,358000,257900,326700,719200,468500,340200,22680,326700,89000,46520,32850,24020,359900,55650,142800,46900,168.8,333800,92660,221500,245400,276800,953.5,413.2,353000,326400,335700,343300,118800,373100,332600,296300,34560,285600,79610,299600,183300,285000,383900,135200,337400,296100,298700,220900,299700,309500,106900,313000,77720,1361,147000,91130,385900,544400,175100,130000,319300,364200,165800,233900,195800,238200,444800,266400,906500,281800,333500,182600,143500,1273,4001,267800,275600,183300,101500,274000,
73 | 684.2031mz | 0.39min,518.7,991.4,762.3,158.9,164.7,,,,,,,,,,,298.4,,55.53,476.1,,,,,115.3,,,,,695.1,103.3,,,,,,,,,,,,452.6,115,,,,109.3,,,,,,767,,,,,,96.31,582.2,65.82,,,,,,,,,,,,615.2,,,,,,,,69.91,,,179.3,,1131,,,,,,,,,741.4,,,,,,,,568.4,,154.9,1318,,,,134.1,,,
74 | 613.4830mz | 0.41min,,,,,,532.9,660.2,597.9,1166,1319,3294,268.1,2625,211.5,,,2285,307.1,1191,,,,2717,,393.7,,,4509,,,1397,,124.1,852.3,,,,5411,,,,,,1885,1004,417.9,617.1,1089,,281.8,,1414,,,,4619,6756,,,,,,,4424,,,,4692,895.4,3762,,,1117,4493,3312,,,1930,3758,1080,3642,,1338,969.9,1331,,1699,967.1,,,163.6,2307,331,,2363,1256,,5900,,5229,,3648,,584.7,1152,,,3751,,1173,2474,2745,
"75 | 2-tridecylnonadeca-2,10-dienal | [M + H3N + H]+",,,,41080,37370,29320,27950,32080,29700,29430,27060,1566,23330,3931,31540,,25620,1634,8914,1809,40940,61970,25530,,2209,1678,22870,28560,,2115,24900,24530,1742,2428,1184,1286,35740,19280,23270,66130,49580,34940,986.8,27220,9711,2807,4013,1864,33170,3322,8689,3486,,23090,8072,26960,15090,24160,,,33840,33250,25760,22540,11850,40190,33480,31820,4645,18400,8152,28400,10090,19280,26250,13140,36540,26310,18820,27050,19430,21050,13790,33920,7018,,17840,7058,26350,29310,17360,16310,35620,39300,10130,25340,20950,16870,34390,28210,31080,18060,34700,18900,17680,,,16670,23700,22470,8076,23070,YLJHJROOFZXHDT
76 | 506.5295mz | 0.41min,118.8,477.8,342,746900,686600,1221000,1136000,1188000,1178000,1204000,1095000,64180,697100,71400,2280000,11370,285800,102000,682900,94350,900200,2407000,700400,17610,51670,68780,283700,323300,11360,91550,826500,829600,60380,66860,37760,44440,843100,263000,374800,3810000,1892000,675800,66920,936000,376200,189800,53900,35290,1381000,150400,566000,137200,16420,702000,534400,282200,227300,306100,17810,6420,775400,1919000,360000,843000,454800,833000,540200,917900,46650,385300,288000,1492000,1171000,319600,975000,590000,621800,630900,388900,213000,290400,417300,120800,426500,69600,6941,490300,147200,729700,3038000,468600,189200,472700,645200,839600,744500,1027000,227900,2959000,420700,4909000,275800,427300,453200,305100,12200,37360,335400,377900,263300,118500,443400,
